asset_id	category	suggested_role	source_archive	source_item	source_filename	local_path	source_bytes	source_md5	license
usc-g45-28	interior	annunciator and control feedback	USC Optical Sound Effects Library	GOLD_TAPE_45_Submarine_Effects	G45-28-Submarine Annunciator.wav	masters/usc-sound-effect-archive/interior/g45-28-submarine-annunciator.wav	6598510	b7338b3cf73720d86fb5316e3786b4fa	CC0-1.0
usc-g45-30	tube-mechanism	heavy hatch source; not a verified torpedo-tube breech	USC Optical Sound Effects Library	GOLD_TAPE_45_Submarine_Effects	G45-30-Submarine Hatch Opening.wav	masters/usc-sound-effect-archive/submarine/g45-30-submarine-hatch-opening.wav	5190740	e9851bb224c33dfb656f03c5be41fea7	CC0-1.0
usc-g45-31	propulsion	underwater churn source	USC Optical Sound Effects Library	GOLD_TAPE_45_Submarine_Effects	G45-31-Submarine Churn Underwater.wav	masters/usc-sound-effect-archive/propulsion/g45-31-submarine-churn-underwater.wav	6053176	a183b13d19a1fdff106dc838ab0bfe87	CC0-1.0
usc-g45-33	interior	forward torpedo-room room tone	USC Optical Sound Effects Library	GOLD_TAPE_45_Submarine_Effects	G45-33-Interior Forward Torpedo Room.wav	masters/usc-sound-effect-archive/interior/g45-33-interior-forward-torpedo-room.wav	6340014	fbf8d42136df8561969b1577d41bdf3d	CC0-1.0
usc-g45-34	torpedo-launch	reverberant internal torpedo source	USC Optical Sound Effects Library	GOLD_TAPE_45_Submarine_Effects	G45-34-Reverberant Torpedos.wav	masters/usc-sound-effect-archive/torpedo/g45-34-reverberant-torpedos.wav	21314216	3809790c20018c9ca984940d4024be0e	CC0-1.0
usc-g45-35	explosions	distant underwater explosion source	USC Optical Sound Effects Library	GOLD_TAPE_45_Submarine_Effects	G45-35-Distant Explosions Underwater.wav	masters/usc-sound-effect-archive/explosions/g45-35-distant-explosions-underwater.wav	17815174	6e36c54ba453742bc617dffe5d0c33e7	CC0-1.0
usc-boats-blowers	machinery	maneuvering-room blowers and voices	USC Optical Sound Effects Library	SSE_Library_BOATS	SUBMARINE/BOATSub_Blowers & voices in maneuvering room of submarine_CS_USC.wav	masters/usc-sound-effect-archive/interior/boats-sub-blowers-and-voices.wav	6150902	3dddecd2ebcf771094a56fbf201182a6	CC0-1.0
usc-boats-periscope	mechanisms	periscope movement source	USC Optical Sound Effects Library	SSE_Library_BOATS	SUBMARINE/BOATSub_Periscope up and down from inside submarine_CS_USC.wav	masters/usc-sound-effect-archive/submarine/boats-sub-periscope-up-down.wav	1653978	47479da310b3f14b7b62434d3f2a4ee7	CC0-1.0
usc-boats-ballast-release	ballast	ballast release source	USC Optical Sound Effects Library	SSE_Library_BOATS	SUBMARINE/BOATSub_Submarine ballast release_CS_USC.wav	masters/usc-sound-effect-archive/ballast/boats-sub-ballast-release.wav	1045168	1656f4545e51070a4fcbb982bbcef78b	CC0-1.0
usc-boats-ballast-explosive	compressed-air	ballast tubes blown explosively	USC Optical Sound Effects Library	SSE_Library_BOATS	SUBMARINE/BOATSub_Submarine ballast tubes blowing out explosively;_CS_USC.wav	masters/usc-sound-effect-archive/ballast/boats-sub-ballast-blow-explosive.wav	5629002	94b5b7547a0aafeafcd83ab4e5ca372a	CC0-1.0
usc-boats-ballast-quick	compressed-air	quick ballast blow source	USC Optical Sound Effects Library	SSE_Library_BOATS	SUBMARINE/BOATSub_Submarine ballast tubes blowing out quickly;_CS_USC.wav	masters/usc-sound-effect-archive/ballast/boats-sub-ballast-blow-quick.wav	1290546	670c4b69b223958cce30ab460e682d33	CC0-1.0
usc-boats-ballast-normal	compressed-air	ballast blow source	USC Optical Sound Effects Library	SSE_Library_BOATS	SUBMARINE/BOATSub_Submarine ballast tubes blowing out_CS_USC.wav	masters/usc-sound-effect-archive/ballast/boats-sub-ballast-blow.wav	3296876	3fe25589a6b9342b3d8d61a53db8a546	CC0-1.0
usc-boats-control-room	interior	control-room room tone	USC Optical Sound Effects Library	SSE_Library_BOATS	SUBMARINE/BOATSub_Submarine control room_CS_USC.wav	masters/usc-sound-effect-archive/interior/boats-sub-control-room.wav	6439452	e001771a5ebeffd5eb9bf590c886d2ff	CC0-1.0
usc-boats-propeller	propulsion	submarine propeller underwater	USC Optical Sound Effects Library	SSE_Library_BOATS	SUBMARINE/BOATSub_Submarine propeller under water_CS_USC.wav	masters/usc-sound-effect-archive/propulsion/boats-sub-propeller-underwater.wav	720210	5a6c40251a66267913d65d2d66a9b63f	CC0-1.0
usc-boats-torpedo-prop	torpedo-propulsion	torpedo travel and popping prop source	USC Optical Sound Effects Library	SSE_Library_BOATS	SUBMARINE/BOATSub_Torpedo traveling underwater; popping prop_CS_USC.wav	masters/usc-sound-effect-archive/torpedo/boats-torpedo-traveling-popping-prop.wav	966142	26ba7ce01b16ce52d156499569c977a9	CC0-1.0
usc-boats-prop-churn	propulsion	submarine prop churn and rushing-water source	USC Optical Sound Effects Library	SSE_Library_BOATS	UNDERWATER/BOATUndwtr_Submarine prop churning; surf or rushing_CS_USC.wav	masters/usc-sound-effect-archive/propulsion/boats-sub-prop-churning.wav	6232428	7df9f7ea360ec5ba7be02f9d40dcbf53	CC0-1.0
usc-metal-crusher	hull-stress	short leaks and moans for maneuver-load layer	USC Optical Sound Effects Library	SSE_Library_METAL	MISC/METLMisc-CAR CRUSHER_Car body crushed by machine; leaks and moans_CS_USC.wav	masters/usc-sound-effect-archive/hull-stress/metal-car-crusher-leaks-moans.wav	3709474	cec75d239fa3d096aaf9c2eeeedc8ee2	CC0-1.0
usc-metal-girders	hull-stress	long steel wrench and tear for depth-pressure layer	USC Optical Sound Effects Library	SSE_Library_METAL	MOVEMENT/METLMvmt-GIRDERS_Steel girders wrench and tear; creaking metal_CS_USC.wav	masters/usc-sound-effect-archive/hull-stress/metal-steel-girders-wrench-tear.wav	7750506	446cb3de50fbce24973611d2c6c45020	CC0-1.0
usc-air-pressurized	compressed-air	pressurized-air source	USC Optical Sound Effects Library	Red_Library_Air_Industry	R17-01-Pressurized Air.wav	masters/usc-sound-effect-archive/air/r17-01-pressurized-air.wav	1706676	07eaffcaa594832d2ebdb89a3f159687	CC0-1.0
usc-air-compressed	compressed-air	compressed-air hiss source	USC Optical Sound Effects Library	Red_Library_Air_Industry	R17-35-Steam or Compressed Air.wav	masters/usc-sound-effect-archive/air/r17-35-steam-or-compressed-air.wav	4315314	e4061bc2b26105ecb590dd842c0c56c3	CC0-1.0
usc-air-blast-07	compressed-air	large air-blast transient variant A	USC Optical Sound Effects Library	Red_Library_Air_Industry	R28-07-Big Blasts of Air.wav	masters/usc-sound-effect-archive/air/r28-07-big-blasts-of-air.wav	6636988	ccf0999d569e3cd1b131ca0a657a09e0	CC0-1.0
usc-air-blast-35	compressed-air	large air-blast transient variant B	USC Optical Sound Effects Library	Red_Library_Air_Industry	R28-35-Big Blasts of Air.wav	masters/usc-sound-effect-archive/air/r28-35-big-blasts-of-air.wav	5711694	80701e272ae05cfaf35b5977b1effcf2	CC0-1.0
usc-air-blast-37	compressed-air	large air-blast transient variant C	USC Optical Sound Effects Library	Red_Library_Air_Industry	R28-37-Big Blasts of Air.wav	masters/usc-sound-effect-archive/air/r28-37-big-blasts-of-air.wav	2749816	e1a0cea1e97ed779114569b24490b48f	CC0-1.0
usc-water-big-flood	flooding	large flood-water source; layer rather than tube-flood truth	USC Optical Sound Effects Library	SSE_Library_WATER	TURBULENT/WATRTurb_Flood waters big flood_CS_USC.wav	masters/usc-sound-effect-archive/flooding/water-big-flood.wav	13249298	08758a272d9612dc3ee40b2ea5448ade	CC0-1.0
usc-aircraft-atlas	missile	airborne rocket motor and launch source	USC Optical Sound Effects Library	SSE_Library_AIRCRAFT	ROCKET/AERORckt_Atlas missile launch_CS_USC.wav	masters/usc-sound-effect-archive/missile/aircraft-atlas-missile-launch.wav	9400444	6188965abc223098a1a8e8aee79bf659	CC0-1.0
usc-aircraft-titan	missile	long airborne rocket launch source	USC Optical Sound Effects Library	SSE_Library_AIRCRAFT	ROCKET/AERORckt_Titan missile launch; long_CS_USC.wav	masters/usc-sound-effect-archive/missile/aircraft-titan-missile-launch-long.wav	20161312	23fb08b1b6fd7cf0b4f55cad2d8f8d17	CC0-1.0
usc-aircraft-v2	missile	rocket ignition and fire source	USC Optical Sound Effects Library	SSE_Library_AIRCRAFT	ROCKET/AERORckt_V2 rocket fires_CS_USC.wav	masters/usc-sound-effect-archive/missile/aircraft-v2-rocket-fires.wav	6049288	f7bdcd29af71ba943d461b3614303d0e	CC0-1.0
